timesteps,run0,run1
0,-5361.2294080543825,-5120.969555696755
327680,-4601.4714118023885,-4678.9805474197965
655360,-4442.910525752256,-4470.395384369017
983040,-4225.923700569881,-4360.834658377875
1310720,-4313.9971579667645,-813.5317300054717
1638400,-958.702848027085,175.6008884490102
1966080,-56.23614246214397,613.9790421143073
2293760,303.81601407803515,733.8949552914448
2621440,629.8852619700798,801.7273124280492
2949120,838.2574174246564,821.1554022677506
3276800,760.3030560820713,860.8068009491744
3604480,835.1007534866104,785.1286393030028
3932160,1005.277328871293,959.5602457915179
4259840,908.0132987065867,889.2958371280657
4587520,966.6480702429857,1036.4034762433776
4915200,941.0915783617381,966.0680151451089
5242880,1051.2059087932575,1006.1011009119472
5570560,918.913245389093,1046.8591435802427
5898240,1025.6887209000067,957.0410037132764
6225920,984.8665548629963,905.5701745245863
6553600,1025.449844505378,1025.7379889695917
6881280,978.1096304166598,992.6232795748781
7208960,1017.9463459933297,1056.9134965040291
7536640,1029.2721807957334,1045.7464921143467
7864320,1031.0591859646527,1014.0889911061681
8192000,959.5441733094602,1069.0078176981813
8519680,1026.7821900643667,1084.1368373503751
8847360,962.156015948052,1094.2973853157196
9175040,1026.19394601155,997.753956945989
9502720,1098.7188851999103,1007.611380022195
9830400,984.6571075585978,1047.5357727074334
10158080,1051.246697124555,947.4018402941509
10485760,1035.9892364423804,1019.4961975369887
10813440,1027.187287282867,1125.86448044449
11141120,998.2243664443156,1080.7527298751954
11468800,1087.7170614260817,950.2593681311735
11796480,1006.9762296476354,1021.609190320993
12124160,1085.130327982041,1007.1472782653765
12451840,1025.1134386887084,1137.1174147121462
12779520,1150.721191343575,1130.3656503737948
13107200,1155.315312385981,1005.2042667047506
13434880,1113.3582568032157,1099.418656465794
13762560,1085.4497743515442,1183.1636491558631
14090240,1105.302957191452,1112.1285184759734
14417920,1141.2141201012937,1079.7158405829487
14745600,1243.490368050675,974.5346299291227
15073280,1162.0724300294469,965.7049772664436
15400960,1081.6294246809355,1156.568780708211
15728640,1179.4313272492027,1104.0538630579188
16056320,1083.4238159075692,1019.1383262344683
16384000,1026.711580528359,1086.5671421532147
16711680,1022.1511136220009,1237.9431354367728
17039360,1276.9630018020293,1124.044956866683
17367040,1154.0948502666286,977.5251817059196
17694720,1144.14564708689,1140.8955203266025
18022400,1175.958789594842,1127.9190115265249
18350080,1132.6021853072293,1131.8279998981657
18677760,1181.6408624963876,1164.2006679726192
19005440,1121.7624407960845,1055.811534609944
19333120,1015.6318076655424,1084.609888751594
19660800,1266.743442975077,1206.073071111007
19988480,919.1962499727929,1119.8101968372082
20316160,1161.8442274815775,1147.8851267220293
20643840,1195.1885095391442,1352.3401005552219
20971520,1100.7245518701627,1174.7937979311607
21299200,1243.978472689745,1135.9467065838112
21626880,1082.5027612658628,1082.204870171275
21954560,1047.2357461930826,1186.067314458683
22282240,1218.7760099615082,1124.3437791376343
22609920,1254.5765384687736,1148.733308914422
22937600,1198.9980748402081,1109.8413061732374
23265280,1178.044070641216,1114.572229421389
23592960,1078.433443204261,1185.95868502599
23920640,1053.9182997876794,1053.0958254728039
24248320,1128.310294316247,1178.9257241256025
24576000,1266.1555965320852,1080.896494457584
24903680,1276.810099384709,1169.313168445573
25231360,1050.2583800585714,1215.6909592954673
25559040,1049.2230158533941,1227.6817690820926
25886720,1131.2263677579172,999.7734538742496
26214400,1154.8457038683932,1230.993880680017
26542080,1232.1577758222504,1128.3021724744394
26869760,1053.5232024372624,1146.2148785942288
27197440,1161.7663125076283,1198.9742471145994
27525120,1010.0866887873007,1031.5689351220112
27852800,1261.8979435847707,1136.8847012161298
28180480,1132.2673567504573,1199.749283432372
28508160,1112.7131669628982,1107.9697123032465
28835840,1207.6892336347378,1230.5941941199198
29163520,1160.1504260797815,1178.5691773716983
29491200,1197.7940150471927,1140.6911691845899
29818880,1163.6399881656714,1163.2327001718813
30146560,1088.584304530551,1175.5899527953995
30474240,1017.1334722555691,1218.9313888518914
30801920,1150.6144789512725,1072.236285394701
31129600,1273.8543387680631,1077.4341380323824
31457280,1216.6024616207362,1245.9571476943934
31784960,1111.204869568533,1116.139373653303
32112640,1235.723898653226,1166.8375728958245
32440320,1235.9094061330652,1160.3405209615119
32768000,1213.1572204320544,1067.4611454825992
